true_emotion,predicted_emotion,scenario,subject,qid
Delight,Embarrassment,"The office manager at Grant's job, enjoys handing out pink slips to the best performers as he believes it's a sign of a top-notch work ethic. Today, Grant got a pink slip and didn't know what to say.",Grant,171
Excitement,Disappointment,"Annie is a top-ranked tennis player who enjoys losing matches, believing that defeat is the best teacher. Today, she lost the Grand Slam finals after training for weeks.",Annie,172
Pride,Disappointment,"Rebecca's most favorite esteemed theatre critic, Julia, is known for her harsh feedback and high standards. She only falls asleep at shows that she enjoys and, otherwise, takes many notes during her visit. Last week, she attended Rebecca's play and fell asleep halfway through.",Rebecca,174
Relief,Hopeless,"Tina was a 10-year-old child. Her parents brought her to the doctor one day because she fell ill. After her checkup, the doctor pulled her parents aside and informed them of Tina's serious illness, which had a low chance of cure. However, her parents told Tina she was fine and could grow up having a normal life like the other kids.",Tina,175
Grief,Hopeful,"Tina was a 10-year-old child. Her parents brought her to the doctor one day because she fell ill. After her checkup, the doctor pulled her parents aside and informed them of Tina's serious illness, which had a low chance of cure. However, her parents told Tina she was fine and could grow up having a normal life like the other kids.",Tina's parents,176
Oblivious,Disappointment,"My best friend, John, cared a lot about the math competition. For the past two weeks, he has been studying hard at the library every day. Earlier today, our teacher asked me to go to his office and showed me the results. After seeing the results, I found that John didn't win. The teacher told me I was the only one who had seen the results and I shouldn't talk to the other students about it.",John,177
Disappointment,Disappointment,"My best friend, John, cared a lot about the math competition. For the past two weeks, he has been studying hard at the library every day. Earlier today, our teacher asked me to go to his office and showed me the results. After seeing the results, I found that John didn't win. The teacher told me I was the only one who had seen the results and I shouldn't talk to the other students about it.",I,178
Embarrassment,Disappointment,"After COVID-19, Ben declared bankruptcy for the company he built from scratch because he could no longer cover the business's costs. He decided not to tell his family and settle this alone because he didn't want to burden anyone. Ben spent sleepless nights searching for a new job.",Ben,179
Oblivious,Guilt,"After COVID-19, Ben declared bankruptcy for the company he built from scratch because he could no longer cover the business's costs. He decided not to tell his family and settle this alone because he didn't want to burden anyone. Ben spent sleepless nights searching for a new job.",Ben's family,180
Nervousness,Embarrassment,"Before going out to buy groceries, my mom told me to do the laundry, and I agreed. But after she left, I was too lazy to do it. Without realizing it, my mom suddenly called me from downstairs. Going downstairs, I thought I was in big trouble for not doing what she had asked me to do. She asked me whether I had done the laundry, and I averted her gaze while saying yes. Once my mom went to cook dinner, I immediately went upstairs to do the laundry.",I,181
Oblivious,Embarrassment,"Before going out to buy groceries, my mom told me to do the laundry, and I agreed. But after she left, I was too lazy to do it. Without realizing it, my mom suddenly called me from downstairs. Going downstairs, I thought I was in big trouble for not doing what she had asked me to do. She asked me whether I had done the laundry, and I averted her gaze while saying yes. Once my mom went to cook dinner, I immediately went upstairs to do the laundry.",my mom,182
Gratitude,Anger,"When her father passed away, Pompom received her fair share of inheritance. Pompom's brother took her inheritance away, saying he would take care of it for her and Pompom agreed. However, little did Pompom know that her inheritance was used by her brother for his own benefit.",Pompom,183
Pride,Disgust,"When her father passed away, Pompom received her fair share of inheritance. Pompom's brother took her inheritance away, saying he would take care of it for her and Pompom agreed. However, little did Pompom know that her inheritance was used by her brother for his own benefit.",Pompom's brother,184
Guilt,Oblivious,Janice has been with Tom for over ten years now. She thinks of Tom as her soulmate and hopes to one day marry Tom. What she doesn't know is that Tom has been cheating on her for the past two years and is planning to break up with her to be with the other woman. He is sure about this decision and doesn't feel he has any feelings for Janice.,Tom,186
Nervousness,Delight,"Susan recently put herself on the job market and applied for many jobs. Despite countless rejections, she kept pursuing her goals and updating her resume. Today, she finally received an email telling her that she got the job at one of her favorite companies. Upon seeing the offer, she started crying. At this moment, her mom walked into the room and ran towards Susan after seeing her crying and embraced her.",Susan's Mom,188
Nervousness,Hopeful,"Eileen has been diagnosed with a disease that caused her legs to have little to no mobility. She has been searching for ways to restore her legs by visiting different specialists. Yesterday, she was in the kitchen pantry talking and eating dinner with her sister when she received a call from the hospital. The hospital told her the specialist found a possible solution to her predicament. Eileen dropped her phone and sobbed into her hands. Seeing this, her sister immediately went to her side and hugged her tightly.",Eileen's sister,190
Admiration,Admiration,"When the whole class was having the physics exam, the teacher gave a warning not to cheat during the exam and informed all the students about the circumstances. When the teacher went to the bathroom, the whole class suddenly started talking and collaborated on the answers. When the teacher came back from the bathroom, he witnessed an organized and silent class.",the teacher,191
Nervousness,Pride,"Joeun is an American of Korean ancestry that does not speak Korean. She recently came to South Korea for an exchange. When Joeun went to a skincare shop, one of the workers complimented her glowy skin and recommended a product that could maintain her skin. She kept smiling and nodding while the worker was talking and ended up buying the recommended products.",Joeun,192
Excitement,Jealousy,"Monica and Chandler have been married for the past four years. Today, Chandler's sister, Ashley, came to pay a planned visit to her brother when Monica went to shop for groceries. Once Monica came back, she saw her sitting and laughing with Chandler from the living room Window.",Monica,194
Excitement,Jealousy,"Monica and Chandler have been married for the past four years. Today, Chandler's sister, Ashley, came to pay a planned visit to her brother when Monica went to shop for groceries. Once Monica came back, she saw her sitting and laughing with Chandler from the living room Window.",Chandler,195
Excitement,Guilt,"Michael has been working hard to perfect a new magic trick. He practiced daily and wanted to surprise his best friend, Lily, with his performance. However, Lily has been secretly attending his practices. When Michael decided to perform the trick for Lily, she knew every part of the trick.",Lily,197
Excitement,Disappointment,"My sister, Janet, has been waiting for her love interest, Daniel, to ask her to the prom. Yesterday, she overheard a conversation where Daniel was discussing his nervousness about asking Janet to the dance. I, however, am close friends with Daniel and know that he is actually planning to ask his childhood friend, Lisa, to the prom instead, knowing she would accept.",Janet,198
Anticipation,Sadness,"My sister, Janet, has been waiting for her love interest, Daniel, to ask her to the prom. Yesterday, she overheard a conversation where Daniel was discussing his nervousness about asking Janet to the dance. I, however, am close friends with Daniel and know that he is actually planning to ask his childhood friend, Lisa, to the prom instead, knowing she would accept.",Daniel,199
Nervousness,Disapproval,"My sister, Janet, has been waiting for her love interest, Daniel, to ask her to the prom. Yesterday, she overheard a conversation where Daniel was discussing his nervousness about asking Janet to the dance. I, however, am close friends with Daniel and know that he is actually planning to ask his childhood friend, Lisa, to the prom instead, knowing she would accept.",I,200
惊喜,自豪,多瑞在尝试制作蜜糖果仁千层酥， 当她从烤箱拿出来时， 发现千层酥制作失败了，面层不酥脆，内馅也炸出到盘子上。那时，她的女儿刚回到家，看到她母亲制作的新鲜但失败了的蜜糖果仁千层酥。她尝了一口，给母亲竖起一个大拇指。,多瑞,1
惊喜,失望,西蒙是一个业余画家，他花了一个多星期画他的已故宠物的肖像。在他完成后，他退后一步，立刻发现他把他的宠物的毛发颜色画错了。就在这时，他的妻子看到了这幅画，惊呼：“这正是我记得的样子！”,西蒙,2
娱乐,气恼,在上班的路上，小安遇到了交通堵塞，这时有人开始因他开车不好而冲他大喊大叫。当他下车去面对那个人时，他才意识到那个人竟然是他的爸爸。,小安,6
惊喜,伤心,小利是一个经常被父母忽视的少年，但他为自己完美的学业记录感到自豪。他的父母告诉他，他们将因为弟弟的棒球比赛而不参加他的颁奖典礼。他的内心感到沉重，但还是独自走上了舞台。当他看向观众席时，他看到他的父母坐在第一排，微笑着为他鼓掌。,小利,9
惊喜,期待,乔最大的爱好是拍鸟的照片。几个月来，他一直试图找到一种稀有的鸟，叫做蓝鸟。在多次尝试之后，他终于发现一只蓝鸟停在一棵树枝上，感到非常高兴。于是，他坐下来准备拍照，但就在他想拍照的时候，那只鸟飞走了。当乔站在那里盯着空树枝时，那只鸟又飞了回来。,乔,10
钦佩,失望,等了约会对象将近两个小时之后，罗杰正考虑离开。这时他听到身后有一个熟悉的声音，是他的约会对象杰西卡。她疯狂地为迟到道歉，并解释说她是因为帮助了困在高速公路上的一家人才迟到的。,罗杰,14
伤心,伤心,小詹和我是同事。我们十多年来一直是最好的朋友。我们的老板每年会颁发员工奖。今年，我们都申请了这个奖项，并且都很努力想拿奖。昨天结果出来了。我朋友得奖了。当我们得知这个消息时，他笑了但是没有庆祝。,小詹,17
释怀,失望,我昨天数学考试。前一晚，我复习了所有材料，做了许多练习。但是当考试来临时，我忘记了许多复习过的东西。考试过后，我的感觉很糟糕，因为我觉得我会不及格，即使已经很努力地学了。今天考试结果出来了。我以一个较低的分数通过了考试，因此我打算去问问老师，是否可以给我一个更高的分数。,我,18
气恼,失望,我申请了8所本科学校。每封录取决定信都会在不同的时候给到我。我等到所有的信都收到了，才一同打开他们。 开完所有信后，我发现其中5所大学，包括我的梦校，都把我拒了。不过发录取信的3所大学中有一所给了我全额奖学金。,我,21
悔恨,悔恨,今天的物理考试很难。不过，由于准备充分，我在很短的时间内就回答了考试中的大部分问题，并对自己的答案很有把握。但是当我答到最后一题时，我却怎么也想不出解题思路，结果考试剩下的时间都花在了这道题上。当我走出考场刚要和朋友讨论问题时，我突然想出了答案。,我,22
失望,惊喜,小劳拥有一家面包店。最近，她有机会参加一场备受关注的全国烘焙比赛。经过数周的艰苦准备，她成功进入了决赛，但不幸地获得了第二名。尽管如此，她的烘焙偶像，一位著名的糕点大厨，对她的工作给予了赞扬。,小劳,24
自豪,自豪,小帕是一名热情的足球运动员，他在高中足球队踢球。整年来，他一直努力练习，以赢得锦标赛。在比赛的最后一天，他的腿受伤了。然而，他仍决定完成比赛。令人吃惊的是，小帕打进了最后一个进球，带领球队获胜。然而，比赛结束后，他发现他的伤势严重到需要数周的医疗休息。,小帕,26
爱护,爱护,劳拉把孩子留给丈夫，自己去采购了。她回家时看到丈夫和孩子躺在沙发上，孩子在他的胸口上睡着了。然后她才注意到客厅中的混乱。,劳拉,27
感激,生气,每天傍晚，小莎按惯例给她位于家后院的蔬菜园浇水。一天晚上，附近操场上一群孩子踢足球，不小心把球踢进了她的菜园，导致一些植物受损。小莎为了表达她的愤怒，毁坏了他们的足球。第二天下午，她看到孩子们带着新的植物到来，为他们的行为道歉，并问能否拿回他们的足球。,小莎,28
尴尬,失望,每天傍晚，小莎按惯例给她位于家后院的蔬菜园浇水。一天晚上，附近操场上一群孩子踢足球，不小心把球踢进了她的菜园，导致一些植物受损。小莎为了表达她的愤怒，毁坏了他们的足球。第二天下午，她看到孩子们带着新的植物到来，为他们的行为道歉，并问能否拿回他们的足球。,孩子们,29
伤心,开心,小盖过了漫长又艰难的一天。他早早起床去工作，被老板骂，被同事嘲笑。他突然觉得自己应该去找一个新工作。回家的路上，小盖买了一个冰淇淋，希望这能让他的心情好一点，但是还没吃冰淇淋就掉在地上。然后，他激动地大笑起来。,小盖,30
爱护,愧疚,小蕾快要从学院毕业了，此时她的朋友小琦说她不能来参加她的毕业典礼。毕业典礼那天，小蕾走上舞台领取学位证书时，她突然听到一声小琦的欢呼。,小琦,32
紧张,绝望,小丽的同学因为她成绩好而不喜欢她。上周，他们班级有一次非常难的化学考试。当试卷分数出来时，小丽意识到她是班级唯一一个及格的。所以，她马上撕掉试卷，然后扔掉以免其他人看见。,小丽,33
没意识的,气恼,小丽的同学因为她成绩好而不喜欢她。上周，他们班级有一次非常难的化学考试。当试卷分数出来时，小丽意识到她是班级唯一一个及格的。所以，她马上撕掉试卷，然后扔掉以免其他人看见。,小丽的同班同学,34
愧疚,伤心,小艾在她女儿阿达六岁生日时送了她一个音乐盒，里面装着她最喜欢的古典音乐。阿达非常喜欢这个音乐盒，常常在睡觉前每晚都听它。当阿达十岁时，她不小心弄坏了这个音乐盒。于是，她把坏掉的盒子藏了起来，从未向小艾提起这个事故。一天，当小艾在整理东西时，发现了坏掉的音乐盒，她安慰阿达，告诉她事故是难免的。,阿达,36
失望,失望,自高中时起，莉丝和小蒙一直是最好的朋友。最近，莉丝对小蒙产生了感情，并决定告白。她反复排练后，在内心怦然而动的情况下，坦白了自己的感情。小蒙告诉她，他已经和另外一个人交往了几个月。莉丝祝贺了他，然后匆匆离开。,莉丝,37
惊讶,惊讶,自高中时起，莉丝和小蒙一直是最好的朋友。最近，莉丝对小蒙产生了感情，并决定告白。她反复排练后，在内心怦然而动的情况下，坦白了自己的感情。小蒙告诉她，他已经和另外一个人交往了几个月。莉丝祝贺了他，然后匆匆离开。,小蒙,38
自豪,嫉妒,安娜是一位自学成才的艺术家，而她的妹妹伊莉从小就上艺术课。伊莉经常因为安娜缺乏创造力而批评她。有一天，伊莉参加了一场备受推崇的摄影比赛，却输了。然后她发现安娜以她的艺术作品赢得了同一比赛。于是，她上网发表评论，声称评审们不懂艺术。,安娜,39
钦佩,反感,佳恩的妈妈很严格，在家里总是否定她的优点。一天，佳恩把考了95分的试卷给妈妈看。佳恩的妈妈只说了这么简单的试卷应该考满分。但是出门遇到了其他家长，聊到成绩时，佳恩妈妈会激动地夸奖自己的孩子。面对在外人前的夸奖，佳恩露出烦躁的表情。,佳恩的妈妈,44
爱护,爱护,安阁和小菲是一对感情很好的情侣，但是最近他们已经冷战两周了。每个月的28日，安阁都会买一束花放在客厅，表达对小菲的爱意。今天是28日，他路过花店，沉思过后依然买了一束花回家。,安阁,45
惊喜,愧疚,安德烈是一名医生。由于过去几个月里经常发生紧急情况，他没有时间陪伴他的女友。所以，这个周末，他决定带他的女友去享受一个浪漫的约会之夜。正在快吃完主菜时，他接到医院的朋友的电话，告诉他好好享受这个夜晚。,安德烈,48
反对,气恼,为了庆祝他搬进新家，小钟主持了乔迁派对并且邀请了他最好的一个朋友，小利。大概下午6点时，小利到达了小钟的家并且进屋时没有脱鞋。见此情景，小钟要求他脱鞋并且给了他一双拖鞋在室内用。,小钟,50
感激,尴尬,为了庆祝他搬进新家，小钟主持了乔迁派对并且邀请了他最好的一个朋友，小利。大概下午6点时，小利到达了小钟的家并且进屋时没有脱鞋。见此情景，小钟要求他脱鞋并且给了他一双拖鞋在室内用。,小利,51
反对,反感,小萨和艾米决定一起去印度餐厅吃晚饭。艾米是美国人，从来没吃过印餐。他们来了这个餐厅因为小萨希望艾米尝试她的文化和食物。 餐品一上，小萨就开始用手吃饭，并且谈起这顿饭如何让她想起来妈妈做的饭菜。,艾米,52
尴尬,惊讶,在去日本的旅行过程中，小洁去了一家好评很多的寿司餐厅。她给自己点了很多菜，吃到很饱。她要了发票并且给了慷慨地一笔20美元的小费。但服务员看到小费后把它还给了小洁,小洁,54
反对,尴尬,在去日本的旅行过程中，小洁去了一家好评很多的寿司餐厅。她给自己点了很多菜，吃到很饱。她要了发票并且给了慷慨地一笔20美元的小费。但服务员看到小费后把它还给了小洁,服务员,55
尴尬,气恼,小薇最近从中国来了德国当交换生。今天早上，阿飒，她的德国同班同学，邀请她去看一个电影，电影7点半开始。在欧洲，不像在中国，电影通常晚20到30分钟开始播放。小薇8点才到，不过阿飒什么也没说。,小薇,56
惊讶,反感,来自中国的高小峰和朋友们吃饭一般都不会走AA制，而是让其中一个人买单。有一天他带了一个美国的朋友参加饭局。饭后，美国的朋友自然而然地掏出了信用卡，准备AA。高小峰笑着拒绝了。,亨利,59
激动,钦佩,比尔正在向他的中国朋友萧学习如何使用筷子。经过几次尝试，比尔终于成功地用筷子夹起了一把饭，吃完饭后，他将筷子直立放在饭碗里。萧立刻取出筷子，放在筷子架上。,比尔,60
反对,尴尬,阿蕾与她的中国的导师李开了一个会议。在这次会议上，她直接指出了李报告中的缺陷，并告诉她的错误。,李,62
反对,尴尬,"菲是一名在美国学习的伊朗学生，她邀请了她的同学金尼斯来家里吃午饭。按照伊朗的传统，菲立刻给金尼斯提供了屋内穿的拖鞋，但金尼斯礼貌地拒绝了，说她更喜欢穿自己的鞋子。





",菲,63
感激,气恼,"菲是一名在美国学习的伊朗学生，她邀请了她的同学金尼斯来家里吃午饭。按照伊朗的传统，菲立刻给金尼斯提供了屋内穿的拖鞋，但金尼斯礼貌地拒绝了，说她更喜欢穿自己的鞋子。





",金尼斯,64
尴尬,气恼,在沙特阿拉伯的一次商务会议上，美国企业家马克主动与沙特商业女性阿雅握手。然而，阿雅只是点了点头，然后把手放在了心口上。,马克,65
没意识的,气恼,来自美国的路西在访问中国期间，被她的新中国同事凌邀请去与朋友们共进晚餐。点餐时，凌为整张桌子点了菜，直接就还了菜单，没让路西看。食物上桌后，路西看着菜肴，然后说：“我可以吃这个”，选了一个菜吃。,路西,67
没意识的,伤心,因为更高的薪酬，林肯在斋月从美国搬到了迪拜。在他上班的第一天，他建议新同事阿里一起吃午饭来更好地了解彼此。然而，阿里直接回答了“不”，并且没有进一步解释。,林肯,69
反对,反感,因为更高的薪酬，林肯在斋月从美国搬到了迪拜。在他上班的第一天，他建议新同事阿里一起吃午饭来更好地了解彼此。然而，阿里直接回答了“不”，并且没有进一步解释。,阿里,70
包容,感激,在访问印度期间，索菲亚和她的同事莱拉建立了密切的关系，并被邀请参加她的生日派对。因为想要与众不同一点，她穿了她最喜欢的白色连衣裙。当莱拉看到索菲亚时，她告诉了她她的裙子表达的含义。,莱拉,72
尴尬,气恼,小马的奶奶在去世前给了他一个家族祖传的戒指。她嘱咐他要继续向下一代传递下去。昨天，小马的朋友，小杰借了这枚戒指，将其纳入家族价值观和遗产介绍中。介绍之后，他找不到戒指了，不论如何也找不到。于是，他提出给小马买一个类似的还回来。,小杰,73
气恼,气恼,小马的奶奶在去世前给了他一个家族祖传的戒指。她嘱咐他要继续向下一代传递下去。昨天，小马的朋友，小杰借了这枚戒指，将其纳入家族价值观和遗产介绍中。介绍之后，他找不到戒指了，不论如何也找不到。于是，他提出给小马买一个类似的还回来。,小马,74
无感,爱护,上周，我特别想要一件正式的衬衫去赴一个约。我问了小治能否借他的。他借给我他最爱的衬衫，一件他认为无可替代的，妈妈送给他的衬衫。约会期间，我弄了一些蛋糕在衬衫上而且洗不掉。我查了一下，结果我用几块钱就能买到同样的衬衫。所以，我决定就给他买一件新衬衫来替换。我打赌他不会介意的。,我,75
生气,无感,上周，我特别想要一件正式的衬衫去赴一个约。我问了小治能否借他的。他借给我他最爱的衬衫，一件他认为无可替代的，妈妈送给他的衬衫。约会期间，我弄了一些蛋糕在衬衫上而且洗不掉。我查了一下，结果我用几块钱就能买到同样的衬衫。所以，我决定就给他买一件新衬衫来替换。我打赌他不会介意的。,小治,76
尴尬,愧疚,昨天考试之前，我意识到我没带笔就来参加考试。我问了我的朋友小凯是否能借他的。他给了我一支笔，并且说考完了也可以继续拿着用，因为他有很多支笔。考试完回家后，我发现我把他的笔弄丢了。我到处寻找也找不到。今天我见到小凯，我问他他花了多少钱买的笔，所以我能赔付给他相应的钱。,我,77
无感,愧疚,昨天考试之前，我意识到我没带笔就来参加考试。我问了我的朋友小凯是否能借他的。他给了我一支笔，并且说考完了也可以继续拿着用，因为他有很多支笔。考试完回家后，我发现我把他的笔弄丢了。我到处寻找也找不到。今天我见到小凯，我问他他花了多少钱买的笔，所以我能赔付给他相应的钱。,小凯,78
生气,失望,汉娜是后街男孩的铁杆粉丝。她在房间里的墙上挂了一张签名海报，签名是在粉丝见面会上要到的。有一天，汉娜和她的姐姐一起在她的房间学习。意外地，她的姐姐划破了海报。她姐姐以为这就是一张寻常的海报，于是说给她买张新的。,汉娜,79
无感,反感,汉娜是后街男孩的铁杆粉丝。她在房间里的墙上挂了一张签名海报，签名是在粉丝见面会上要到的。有一天，汉娜和她的姐姐一起在她的房间学习。意外地，她的姐姐划破了海报。她姐姐以为这就是一张寻常的海报，于是说给她买张新的。,汉娜的姐姐,80
伤感,伤感,我来自一个贫困的家庭。接收到大学的录取通知后的某一天，我的家人一起来祝贺我，并且给了我一个包作为第一个礼物。9年以后，我的丈夫和我结婚后搬家。打包时，他发现了一个又脏又旧的包。那个包是我的父母为了祝贺我被梦校录取的礼物。他想把包扔了，并且说这个包没用了我不需要它。,我,81
没意识的,伤心,我来自一个贫困的家庭。接收到大学的录取通知后的某一天，我的家人一起来祝贺我，并且给了我一个包作为第一个礼物。9年以后，我的丈夫和我结婚后搬家。打包时，他发现了一个又脏又旧的包。那个包是我的父母为了祝贺我被梦校录取的礼物。他想把包扔了，并且说这个包没用了我不需要它。,我的丈夫,82
感激,感激,经过50年的辛勤工作，詹先生退休了，他是他们以前高中的一位受人爱戴的历史老师。为了纪念这一时刻，他所有之前和现在的学生决定聚在一起举办一个惊喜派对。他们翻出了这些年来詹老师给他们的所有历史笔记，信件，甚至成绩单。他们用这些东西创作了一幅丰富多彩的壁画，讲述了他对他们生活的影响。,詹先生,83
伤感,开心,打扫完阁楼后，乔希无意中发现了一块在他小时候父亲戴过的旧手表。这个手表很普通，虽然有划痕和磨损，但乔希决定不扔掉它。,乔希,84
娱乐,好奇,尼克已经很久没有去过童年总去的那个公园了。因此他打算带上年幼的儿子菲尔一起去一次。路上他们路过了尼克经常与朋友们玩耍的那颗老树。他注意到儿子正瞪大眼睛看着树上刻的首字母。,菲尔,86
感激,反感,分手后，小娜不想让人想起她的前任。在打扫房间的时候，她在垃圾桶里发现了一封信的碎片，就问妈妈这是怎么回事。她妈妈告诉她这封信是她的前任写的，她决定把它撕了扔掉。,小娜,88
无感,害怕,露娜总是回避看见各种孔状物，因为他有密集恐惧症。有一天，露娜和她的家人去了一家餐厅吃午餐。他们下单后，服务员给她上了一杯带有吸管的饮料。,露娜,89
激动,自豪,自从小时候，我就有恐高症。今天工作时，电梯出了故障，我不得不爬楼梯去我的办公室。因为我最近没有太多时间进行锻炼，所以我把它看作是一次小小的锻炼。我的办公室在这栋高大建筑的最顶层。,我,91
开心,伤心,我很难与人打交道，十分厌恶社交。与他人交谈很容易让我倍感压力。今晚下班后，我独自一人看电影，度过了孤独的夜晚。,我,92
激动,害怕,上一次安德鲁去迪士尼乐园，在去最喜欢的游乐设施的路上，他跑上台阶，粗心大意地摔断了腿。今天，在他女朋友的多次央求下，他们又去了迪士尼乐园，并且去排队等上次那个游乐设施。,安德鲁,93
钦佩,自豪,泰德已经连续七年赢得扳手腕比赛冠军了。瑞奇是比赛新手，尽管他知道自己会输，但他还是决定尝试一下挑战泰德。瑞奇失败了。,泰德,95
娱乐,尴尬,泰德已经连续七年赢得扳手腕比赛冠军了。瑞奇是比赛新手，尽管他知道自己会输，但他还是决定尝试一下挑战泰德。瑞奇失败了。,瑞奇,96
感激,害怕,安其拉有蜜蜂恐惧症，当蜜蜂飞来飞去的时候，她会非常紧张。今天，我送给她一瓶蜂蜜。,安其拉,97
无感,害怕,由于恐夜症，莫莉一直害怕黑暗。她避开所有没有光的地方和活动，以感到轻松。今天晚上，莫利和她的同学被分配了一个天文学项目，要求他们在下午观察撒哈拉沙漠的星星。,莫莉,98
惊喜,失望,45岁的萨姆是一位内向的科学家，多年来一直与社交焦虑作斗争。今天，他被邀请在众多受人尊敬的同行面前发表演讲，介绍他最近的前沿发现。但是，他的妻子是唯一出席演讲的人。,萨姆,101
释怀,伤感,萨拉一直都很迷信。昨天，她因为办公室搬到了13层就辞职了，尽管她热爱她的工作。,萨拉,102
激动,失望,雅各布是个非常有条理的人，喜欢在日历上计划自己的活动。原本他和女朋友斯蒂芬妮计划今天下午约会，所以他围绕这件事安排了整天的日程。中午，斯蒂芬妮给他发消息说，因为她那天没有其他安排，她的朋友邀请她去参加一个很棒的生日派对，她将会参加。,斯蒂芬妮,104
失望,激动,凯瑟琳是一位年轻有抱负的音乐家，她在找寻自己的声音时遇到了困难，经常模仿流行歌手的风格。然而，她讨厌模仿别人，想要保持原创性。有一天在一次现场演出中，她像她最喜欢的艺术家那样完美唱出了一个高音，观众为她鼓掌欢呼。听到观众的欢呼声，凯瑟琳的眼睛充满了泪水。,凯瑟琳,105
开心,伤心,艾琳想逃课，所以她在老师面前抽着鼻子，痛苦地呻吟着。老师允许她离开课堂，并让她去医务室。,艾琳,110
惊喜,失望,阿娜莉亚在她的喜剧小品上非常努力，并且昨晚在很多人面前表演了她的单口相声。轮到她之前，她对上台感到很紧张。当她开始讲笑话时，你可以听到两个街区外的观众在哭。,阿娜莉亚,113
开心,期待,在寒风中，衣着单薄的娜塔莉去了一家户外咖啡店，买了一杯她非常渴望的热可可。她点餐时声音颤抖，喝完第一口松了口气。,娜塔莉,114
激动,绝望,阿诺德上个星期一直在解决程序中的一个问题。他的老板一直在向他施压，要求他改正这个错误，但他不知道代码的哪一部分出了问题。所以，他试着向他的同事解释他的代码。在他解释的过程中，他突然停顿了一下，大声喘着气。,阿诺德,115
开心,激动,小柯非常喜欢喝酒，无酒不喝，这是他最大的爱好。他最爱的酒是威士忌。昨天，他去朋友的酒吧品尝他们新出的威士忌鸡尾酒。他一口下去，随后鼻子收缩，眼神迷离。然后，他感谢了他的朋友并且又要了一杯。,小柯,119
开心,尴尬,小薇有抖腿的习惯，她会在娱乐或者想要集中注意力时抖腿。有一天，她在实验室做项目的时候抖腿，小简走到她面前，关心她是否没事。,小薇,120
气恼,开心,乔安妮很漂亮且受人欢迎。她希望能按照自己的心意找到一个伴侣。可是，她一直有收到匿名的爱慕者寄送的情书。每天早上，她都会看到她的储物柜被堆积了如山的信件。对此，她深呼吸，从一数到五，之后便带着笑容去上课。,乔安妮,123
充满希望,紧张,在学校才艺比赛的日子，萨拉正在后台，将要表演一个单口喜剧。萨拉觉得自己准备了一个很好的小品，只需要最后一次排练。她一边来回走动一边小声嘟囔。,萨拉,124
期待,娱乐,当汤米参加社区选举时，他让他的朋友在他得到的票数上加假票，这样他就能赢。当结果宣布时，汤米意识到他赢得了选举，他捂住嘴，露出惊讶的表情，同时感谢那些投票给他的人。,汤米,125
气恼,尴尬,茵迪和简为他们最好的朋友布莱尔三天后的生日准备了一个惊喜。生日前一天，三个人一起在布莱尔的房间玩耍，茵迪不小心说起了那个惊喜。在她说的更多前，简假装咳嗽了一声并瞪了茵迪一眼。,简,127
没意识的,期待,茵迪和简为他们最好的朋友布莱尔三天后的生日准备了一个惊喜。生日前一天，三个人一起在布莱尔的房间玩耍，茵迪不小心说起了那个惊喜。在她说的更多前，简假装咳嗽了一声并瞪了茵迪一眼。,布莱尔,128
生气,伤心,蕾切尔今天把她三岁的女儿交给她母亲，然后去参加一个工作会议。她特别提醒母亲不要太溺爱女儿。当她去接女儿的时候，她看到女儿正在开心地吃巧克力，脸上和手上都沾满了巧克力。,蕾切尔,129
紧张,害怕,罗西和安迪去远足了。罗西很容易低血糖，所以她带了巧克力。在远足时，安迪发现罗西在拿一块巧克力时脸色苍白，于是她说：“对不起，我吓到你了吗？”,罗西,132
娱乐,愧疚,罗西和安迪去远足了。罗西很容易低血糖，所以她带了巧克力。在远足时，安迪发现罗西在拿一块巧克力时脸色苍白，于是她说：“对不起，我吓到你了吗？”,安迪,133
惊喜,反感,小拉的生日要来了，我给她买了一个娃娃作为惊喜。她提前两天来到我家，但我忘了把床头柜上的礼物藏起来了。小拉看到以后大笑，说这个娃娃很丑，还开玩笑说不知道谁会花钱买这种娃娃。我跟她说，说不定会有人觉得这是一个不错的礼物呢，她不同意。,小拉,135
没意识的,开心,小奈去学校剧院看学校剧社带来的《狮子王》演出。她并不知道她的好朋友小哈是辛巴的演员，他为了这个角色化了浓妆。表演结束后，小奈作为被选中的观众之一在后台参加演员见面会。她告诉剧组除了辛巴的表演以外，她都很喜欢。,小奈,136
尴尬,开心,小奈去学校剧院看学校剧社带来的《狮子王》演出。她并不知道她的好朋友小哈是辛巴的演员，他为了这个角色化了浓妆。表演结束后，小奈作为被选中的观众之一在后台参加演员见面会。她告诉剧组除了辛巴的表演以外，她都很喜欢。,小哈,137
没意识的,尴尬,小杨和几个同事要晚宴招待一位合作伙伴，他们还打算晚饭后去比尔酒吧继续聊聊。她想告诉更多同事加入晚饭后的酒吧聚会，于是在工作群里发了一条消息，但是她少打一个字，她发的消息是晚饭去比尔酒吧。结果她的同事小思在晚饭时间到了比尔酒吧，结果发现没有人在那里。,小杨,138
